item_type,category,identifier,detail,href
"package","npm","nextmove-mcp","other | versions: 0.1.3, 0.1.4, 0.1.5, 0.1.6, 0.1.7","/ti/packages/npm/nextmove-mcp"
"package","npm","safe-action","other | versions: 0.8.3, 0.8.4","/ti/packages/npm/safe-action"
"package","npm","ts-dna","other | versions: 3.0.1, 3.0.2, 3.0.3, 3.0.4, 3.0.5","/ti/packages/npm/ts-dna"
"package","npm","wot-api","other | versions: 0.8.1, 0.8.2, 0.8.3, 0.8.4","/ti/packages/npm/wot-api"
"package","pypi","guardrails-ai","other | versions: 0.10.1","/ti/packages/pypi/guardrails-ai"
"package","pypi","mistralai","other | versions: 2.4.6","/ti/packages/pypi/mistralai"
"package","npm","node-ipc","credential_stealer; data_exfiltration; rat; persistence | versions: 9.1.6, 9.2.3, 12.0.1","/ti/packages/npm/node-ipc"
"package","npm","ai-figure","other | versions: 0.5.0, 0.6.0","/ti/packages/npm/ai-figure"
"package","npm","amapcn","other | versions: 0.2.2, 0.3.2","/ti/packages/npm/amapcn"
"package","npm","@antv/a8","credential_stealer | versions: 0.1.1, 0.2.1","/ti/packages/npm/@antv/a8"
"package","npm","@antv/adjust","credential_stealer | versions: 0.3.5, 0.4.5","/ti/packages/npm/@antv/adjust"
"package","npm","@antv/algorithm","credential_stealer | versions: 0.2.26, 0.3.26","/ti/packages/npm/@antv/algorithm"
"package","npm","@antv/async-hook","credential_stealer | versions: 2.3.9, 2.4.9","/ti/packages/npm/@antv/async-hook"
"package","npm","@antv/attr","credential_stealer | versions: 0.4.5, 0.5.5","/ti/packages/npm/@antv/attr"
"package","npm","@antv/ava","credential_stealer | versions: 3.5.1, 3.6.1","/ti/packages/npm/@antv/ava"
"package","npm","@antv/ava-react","credential_stealer | versions: 3.4.2, 3.5.2","/ti/packages/npm/@antv/ava-react"
"package","npm","@antv/awards","credential_stealer | versions: 0.1.9, 0.2.9","/ti/packages/npm/@antv/awards"
"package","npm","@antv/calendar-heatmap","credential_stealer | versions: 1.2.2, 1.3.2","/ti/packages/npm/@antv/calendar-heatmap"
"package","npm","@antv/chart-linter","credential_stealer | versions: 1.2.6, 1.3.6","/ti/packages/npm/@antv/chart-linter"
"package","npm","@antv/chart-node-g6","credential_stealer | versions: 0.1.4, 0.2.4","/ti/packages/npm/@antv/chart-node-g6"
"package","npm","@antv/chart-visualization-skills","credential_stealer | versions: 0.2.3, 0.3.3","/ti/packages/npm/@antv/chart-visualization-skills"
"package","npm","@antv/ckb","credential_stealer | versions: 2.1.4, 2.2.4","/ti/packages/npm/@antv/ckb"
"package","npm","@antv/color-schema","credential_stealer | versions: 0.3.3, 0.4.3","/ti/packages/npm/@antv/color-schema"
"package","npm","@antv/color-util","credential_stealer | versions: 2.1.6, 2.2.6","/ti/packages/npm/@antv/color-util"
"package","npm","@antv/component","credential_stealer | versions: 2.2.11, 2.3.11","/ti/packages/npm/@antv/component"
